FID,id_objeto,nome,geometriaaproximada,nomeabrev,largura,extensao,operacional,situacaofisica,homologacao,tipopista,usopista,revestimento,geom
BCIM_Pista_Ponto_Pouso_P.39525,39525,Soure,Não,,30,1100,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-48.51805555644398 -0.6983333341881198)
BCIM_Pista_Ponto_Pouso_P.36801,36801,Amargosa,Não,,25,1120,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-39.640555556131766 -12.99444444464558)
BCIM_Pista_Ponto_Pouso_P.36807,36807,Correntina,Não,,25,1140,Sim,Construída,Sim,Pista de pouso,Público,Cascalho,POINT (-44.61722222266037 -13.380555555486296)
BCIM_Pista_Ponto_Pouso_P.37315,37315,Jundiaí,Não,,30,1400,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-46.94361111094793 -23.181666665492106)
BCIM_Pista_Ponto_Pouso_P.36793,36793,Country Club Orgabil,Não,,20,850,Sim,Construída,Sim,Pista de pouso,Desconhecido,Asfalto/Concreto Asfáltico,POINT (-50.40555555534818 -21.216388887744685)
BCIM_Pista_Ponto_Pouso_P.36795,36795,Itápolis,Não,,25,1300,Sim,Construída,Sim,Pista de pouso,Desconhecido,Asfalto/Concreto Asfáltico,POINT (-48.83277777762267 -21.599722221117418)
BCIM_Pista_Ponto_Pouso_P.36851,36851,Urucu,Não,,30,1320,Sim,Construída,Sim,Pista de pouso,Desconhecido,Asfalto/Concreto Asfáltico,POINT (-65.35638888875096 -4.8833333329876885)
BCIM_Pista_Ponto_Pouso_P.36853,36853,Conceição do Araguaia,Não,,30,1800,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-49.30305555607559 -8.348611111284558)
BCIM_Pista_Ponto_Pouso_P.36855,36855,Campo Délio Jardim de Mattos,Não,,52,2001,Sim,Construída,Sim,Pista de pouso,Militar,Concreto,POINT (-43.3844444444416 -22.875555554583173)
BCIM_Pista_Ponto_Pouso_P.36857,36857,Amapá,Não,,45,1525,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-50.862500000934354 2.072777776818106)
BCIM_Pista_Ponto_Pouso_P.36863,36863,Santa Maria,Não,,45,2200,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-37.07333333402876 -10.985277778277368)
BCIM_Pista_Ponto_Pouso_P.36881,36881,Bauru,Não,,35,1501,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-49.053888888679175 -22.343611109919365)
BCIM_Pista_Ponto_Pouso_P.36787,36787,Monte Dourado,Não,,30,1800,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-52.60222222296304 -0.889722222878089)
BCIM_Pista_Ponto_Pouso_P.36789,36789,Trombetas,Não,,30,1600,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-56.3991666672157 -1.4844444448698344)
BCIM_Pista_Ponto_Pouso_P.36811,36811,Teruel Ipanema Estância,Não,,30,1500,Sim,Construída,Sim,Pista de pouso,Público,Cascalho,POINT (-54.60249999960802 -20.59944444314982)
BCIM_Pista_Ponto_Pouso_P.36803,36803,Centro de Lançamento de Alcântara,Não,,45,2600,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-44.39083333425514 -2.371666667571031)
BCIM_Pista_Ponto_Pouso_P.36883,36883,Barra do Garças,Não,,30,1598,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-52.38944444444854 -15.860833332626438)
BCIM_Pista_Ponto_Pouso_P.36885,36885,Umberto Modiano,Não,,30,1300,Sim,Construída,Sim,Pista de pouso,Particular,Asfalto/Concreto Asfáltico,POINT (-41.9655555556081 -22.766111110216706)
BCIM_Pista_Ponto_Pouso_P.36889,36889,Cabo Frio,Não,,30,1700,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-42.0786111111513 -22.92499999908365)
BCIM_Pista_Ponto_Pouso_P.36891,36891,Cachimbo,Não,,45,2599,Sim,Construída,Sim,Pista de pouso,Militar,Asfalto/Concreto Asfáltico,POINT (-54.966944444672016 -9.336111110903593)
BCIM_Pista_Ponto_Pouso_P.36897,36897,Brigadeiro Lysias Augusto Rodrigues,Não,,45,1800,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-47.433888889519274 -7.333611111466892)
BCIM_Pista_Ponto_Pouso_P.36899,36899,Carajás,Não,,45,2000,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-50.00138888948792 -6.115277778117232)
BCIM_Pista_Ponto_Pouso_P.36903,36903,Canoas,Não,,45,2751,Sim,Construída,Sim,Pista de pouso,Militar,Asfalto/Concreto Asfáltico,POINT (-51.143611110283345 -29.945555553504306)
BCIM_Pista_Ponto_Pouso_P.36905,36905,Bartolomeu Lisandro,Não,,45,1544,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-41.30777777790719 -21.70111111035908)
BCIM_Pista_Ponto_Pouso_P.36907,36907,Caravelas,Não,,50,1530,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-39.254444444824244 -17.65055555531687)
BCIM_Pista_Ponto_Pouso_P.36911,36911,Presidente Prudente,Não,,35,2110,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-51.42842668549964 -22.168865006279283)
BCIM_Pista_Ponto_Pouso_P.36913,36913,Jacareacanga,Não,,30,1600,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-57.77583333357716 -6.235277777712405)
BCIM_Pista_Ponto_Pouso_P.36915,36915,São Pedro da Aldeia,Não,,28,1800,Sim,Construída,Sim,Pista de pouso,Militar,Concreto,POINT (-42.09250000004554 -22.81666666576108)
BCIM_Pista_Ponto_Pouso_P.36917,36917,Fernando de Noronha,Não,,45,1845,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-32.42833333428921 -3.8547222234748575)
BCIM_Pista_Ponto_Pouso_P.36919,36919,Fronteira,Não,,30,1720,Sim,Construída,Sim,Pista de pouso,Particular,Asfalto/Concreto Asfáltico,POINT (-49.19083333323869 -20.27749999901225)
BCIM_Pista_Ponto_Pouso_P.36921,36921,Furnas,Não,,30,1599,Sim,Construída,Sim,Pista de pouso,Particular,Asfalto/Concreto Asfáltico,POINT (-46.337500000004184 -20.703333332443805)
BCIM_Pista_Ponto_Pouso_P.36923,36923,Guajará-Mirim,Não,,45,1795,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-65.28166666619941 -10.788333332431145)
BCIM_Pista_Ponto_Pouso_P.36927,36927,EMBRAER - Unidade Gavião Peixoto,Não,,45,3000,Sim,Construída,Sim,Pista de pouso,Particular,Asfalto/Concreto Asfáltico,POINT (-48.40472222207705 -21.764444443343972)
BCIM_Pista_Ponto_Pouso_P.36929,36929,Tancredo Thomas de Faria,Não,,30,1620,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-51.52166666613775 -25.388055553935672)
BCIM_Pista_Ponto_Pouso_P.36935,36935,Altamira,Não,,38,2003,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-52.25222222286849 -3.2508333338110322)
BCIM_Pista_Ponto_Pouso_P.36937,36937,Itacoatiara,Não,,30,1515,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-58.48166666703083 -3.126388889067709)
BCIM_Pista_Ponto_Pouso_P.36939,36939,Itaituba,Não,,30,1605,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-56.00083333376744 -4.242222222428722)
BCIM_Pista_Ponto_Pouso_P.36941,36941,Bahia - Jorge Amado,Não,,45,1577,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-39.03333333384314 -14.815000000053498)
BCIM_Pista_Ponto_Pouso_P.36943,36943,Usiminas,Não,,45,2004,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-42.48805555576225 -19.470555554979665)
BCIM_Pista_Ponto_Pouso_P.36947,36947,Prefeito Renato Moreira,Não,,45,1798,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-47.45833333404351 -5.53055555606715)
BCIM_Pista_Ponto_Pouso_P.36951,36951,Francisco de Assis,Não,,30,1535,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-43.38555555561166 -21.793055554696153)
BCIM_Pista_Ponto_Pouso_P.36953,36953,Jacarepaguá,Não,,30,900,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-43.36999999999157 -22.98749999901654)
BCIM_Pista_Ponto_Pouso_P.36959,36959,Presidente João Suassuna,Não,,42,1600,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-35.895000000842934 -7.269166667533639)
BCIM_Pista_Ponto_Pouso_P.36887,36887,Adalberto Mendes da Silva,Não,,30,1615,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-53.50194444382892 -25.00222222054554)
BCIM_Pista_Ponto_Pouso_P.36875,36875,Bacacheri,Não,,30,1390,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-49.233611110702334 -25.403333331821035)
BCIM_Pista_Ponto_Pouso_P.36969,36969,Bom Jesus da Lapa,Não,,30,1211,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-43.40750000047826 -13.261388888889385)
BCIM_Pista_Ponto_Pouso_P.36971,36971,Lagoa Santa,Não,,30,1840,Sim,Construída,Sim,Pista de pouso,Militar,Asfalto/Concreto Asfáltico,POINT (-43.897777777928816 -19.661111110447898)
BCIM_Pista_Ponto_Pouso_P.36977,36977,Macaé,Não,,30,1200,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-41.776733325640116 -22.34620103365116)
BCIM_Pista_Ponto_Pouso_P.36981,36981,Mário Ribeiro,Não,,45,2100,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-43.82194444474712 -16.706111110752296)
BCIM_Pista_Ponto_Pouso_P.36985,36985,Ponta Pelada,Não,,45,2170,Sim,Construída,Sim,Pista de pouso,Militar,Asfalto/Concreto Asfáltico,POINT (-59.98500000028161 -3.1458333334328965)
BCIM_Pista_Ponto_Pouso_P.36987,36987,Dix-Sept Rosado,Não,,30,2000,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-37.36194444535315 -5.19611111208511)
BCIM_Pista_Ponto_Pouso_P.36991,36991,Manicoré,Não,,30,1280,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-61.283888888956824 -5.816944444231827)
BCIM_Pista_Ponto_Pouso_P.36993,36993,Santo Ângelo,Não,,30,1625,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-54.168888888000374 -28.28222222019612)
BCIM_Pista_Ponto_Pouso_P.36995,36995,Oiapoque,Não,,30,1200,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-51.79611111209131 3.861388887841808)
BCIM_Pista_Ponto_Pouso_P.37001,37001,Lauro Kurtz,Não,,23,1700,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-52.328611110337675 -28.245277775838513)
BCIM_Pista_Ponto_Pouso_P.37003,37003,Brigadeiro Lysias Rodrigues,Não,,45,2500,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-48.35777777823969 -10.290000000040816)
BCIM_Pista_Ponto_Pouso_P.37005,37005,Senador Nilo Coelho,Não,,45,2760,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-40.56361111182145 -9.367500000492846)
BCIM_Pista_Ponto_Pouso_P.37007,37007,Porto Nacional,Não,,30,1700,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-48.40027777821768 -10.716944444442976)
BCIM_Pista_Ponto_Pouso_P.37009,37009,Carlos Prates,Não,,18,928,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-43.98916666680164 -19.909166665973537)
BCIM_Pista_Ponto_Pouso_P.37011,37011,Porto Seguro,Não,,45,2000,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-39.07777777821587 -16.4380555554469)
BCIM_Pista_Ponto_Pouso_P.37013,37013,Vitória da Conquista,Não,,30,1775,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-40.862500000469396 -14.863055555520566)
BCIM_Pista_Ponto_Pouso_P.37019,37019,Leite Lopes,Não,,35,1800,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-47.776666666586 -21.136388887883903)
BCIM_Pista_Ponto_Pouso_P.37021,37021,Santa Cruz,Não,,45,2739,Sim,Construída,Sim,Pista de pouso,Militar,Asfalto/Concreto Asfáltico,POINT (-43.71944444442616 -22.932777776783546)
BCIM_Pista_Ponto_Pouso_P.37029,37029,Base Aérea,Não,,45,1390,Sim,Construída,Sim,Pista de pouso,Militar,Asfalto/Concreto Asfáltico,POINT (-46.29972222204296 -23.928055554334872)
BCIM_Pista_Ponto_Pouso_P.37031,37031,Hotel Transamérica,Não,,30,1900,Sim,Construída,Sim,Pista de pouso,Particular,Asfalto/Concreto Asfáltico,POINT (-38.99722222270946 -15.353333333335717)
BCIM_Pista_Ponto_Pouso_P.37035,37035,Senador Petrônio Portela,Não,,45,2200,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-42.82732015189352 -5.061300569228103)
BCIM_Pista_Ponto_Pouso_P.37037,37037,Tefé,Não,,45,2200,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-64.72527777776207 -3.380277777605334)
BCIM_Pista_Ponto_Pouso_P.37039,37039,Tarauacá,Não,,14,1130,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-70.78277777707025 -8.15472222126901)
BCIM_Pista_Ponto_Pouso_P.36961,36961,Horácio de Matos,Não,,30,2080,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-41.27305555612082 -12.483333333508336)
BCIM_Pista_Ponto_Pouso_P.36965,36965,Lins,Não,,32,1700,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-49.73111111090979 -21.66277777662192)
BCIM_Pista_Ponto_Pouso_P.37043,37043,Torres,Não,,30,1500,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-49.810277777065885 -29.40999999805973)
BCIM_Pista_Ponto_Pouso_P.37045,37045,Tiriós,Não,,30,1600,Sim,Construída,Sim,Pista de pouso,Militar,Asfalto/Concreto Asfáltico,POINT (-55.94722222296633 2.223888888142078)
BCIM_Pista_Ponto_Pouso_P.37047,37047,Tucuruí,Não,,45,2000,Sim,Construída,Sim,Pista de pouso,Público,Concreto,POINT (-49.719722222937804 -3.7769444449982466)
BCIM_Pista_Ponto_Pouso_P.37049,37049,São Gabriel da Cachoeira,Não,,45,2600,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-66.98583333334057 -0.1480555555544132)
BCIM_Pista_Ponto_Pouso_P.37051,37051,Paulo Afonso,Não,,45,1800,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-38.254166667409834 -9.402222222812313)
BCIM_Pista_Ponto_Pouso_P.37057,37057,Major Brigadeiro Trompowsky,Não,,30,1500,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-45.473333333322714 -21.588888887950258)
BCIM_Pista_Ponto_Pouso_P.37063,37063,Campo Fontenelle,Não,,45,2110,Sim,Construída,Sim,Pista de pouso,Militar,Asfalto/Concreto Asfáltico,POINT (-47.34416666655602 -21.984444443373626)
BCIM_Pista_Ponto_Pouso_P.37065,37065,Araras,Não,,30,1150,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-47.358333333201486 -22.336944443336662)
BCIM_Pista_Ponto_Pouso_P.37067,37067,Everaldo Moraes Barreto,Não,,18,1150,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-51.09638888861793 -21.696111109883653)
BCIM_Pista_Ponto_Pouso_P.37071,37071,Fazenda Santo Antônio,Não,,20,1280,Sim,Construída,Sim,Pista de pouso,Particular,Asfalto/Concreto Asfáltico,POINT (-51.296111110855435 -21.27749999880487)
BCIM_Pista_Ponto_Pouso_P.37077,37077,Bebedouro,Não,,23,1300,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-48.48138888879074 -20.897222221206704)
BCIM_Pista_Ponto_Pouso_P.37079,37079,Aeroclube,Não,,23,800,Sim,Construída,Sim,Pista de pouso,Particular,Grama,POINT (-50.326944444237014 -21.281944443297473)
BCIM_Pista_Ponto_Pouso_P.37083,37083,Fazenda Palmeiras,Não,,18,1000,Sim,Construída,Sim,Pista de pouso,Particular,Asfalto/Concreto Asfáltico,POINT (-47.71444444430734 -22.157222221115497)
BCIM_Pista_Ponto_Pouso_P.37085,37085,Angra dos Reis,Não,,30,913,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-44.307222222179426 -22.97527777675121)
BCIM_Pista_Ponto_Pouso_P.37087,37087,Americana,Não,,18,1100,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-47.26805555540326 -22.7552777766314)
BCIM_Pista_Ponto_Pouso_P.37089,37089,Fazenda Santa Marina,Não,,23,1530,Sim,Construída,Sim,Pista de pouso,Particular,Asfalto/Concreto Asfáltico,POINT (-50.75563623972258 -20.832294899002104)
BCIM_Pista_Ponto_Pouso_P.37093,37093,Fazenda Santo Ângelo,Não,,22,800,Sim,Construída,Sim,Pista de pouso,Particular,Asfalto/Concreto Asfáltico,POINT (-48.25777777761101 -22.24555555441313)
BCIM_Pista_Ponto_Pouso_P.37095,37095,Fazenda Bonanza,Não,,20,610,Sim,Construída,Sim,Pista de pouso,Particular,Asfalto/Concreto Asfáltico,POINT (-47.55749999977918 -23.68611110985485)
BCIM_Pista_Ponto_Pouso_P.37099,37099,Balneário São Januário,Não,,23,600,Sim,Construída,Sim,Pista de pouso,Particular,Grama,POINT (-47.758333333030585 -24.87083333194569)
BCIM_Pista_Ponto_Pouso_P.37105,37105,Capão Bonito,Não,,20,1075,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-48.35833333305398 -24.032499998669504)
BCIM_Pista_Ponto_Pouso_P.37107,37107,Maricá,Não,,30,1190,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-42.8283333333481 -22.91749999904936)
BCIM_Pista_Ponto_Pouso_P.37109,37109,Marchesan S.A,Não,,20,1100,Sim,Construída,Sim,Pista de pouso,Particular,Asfalto/Concreto Asfáltico,POINT (-48.39388888875215 -21.629444443358327)
BCIM_Pista_Ponto_Pouso_P.37117,37117,Marambaia,Não,,39,672,Sim,Construída,Sim,Pista de pouso,Militar,Areia,POINT (-43.879722222190544 -23.066388887873092)
BCIM_Pista_Ponto_Pouso_P.37119,37119,Fazenda Morro Vermelho,Não,,30,1040,Sim,Construída,Sim,Pista de pouso,Particular,Asfalto/Concreto Asfáltico,POINT (-48.61249999981508 -22.275555554392586)
BCIM_Pista_Ponto_Pouso_P.37121,37121,Fazenda Cambuhy,Não,,30,1500,Sim,Construída,Sim,Pista de pouso,Particular,Asfalto/Concreto Asfáltico,POINT (-48.477777777637165 -21.63055555446526)
BCIM_Pista_Ponto_Pouso_P.37125,37125,Fazenda São Joaquim,Não,,23,650,Sim,Construída,Sim,Pista de pouso,Particular,Grama,POINT (-51.973611110763414 -22.1994444431223)
BCIM_Pista_Ponto_Pouso_P.37127,37127,Fazenda São Gabriel,Não,,40,1000,Sim,Construída,Sim,Pista de pouso,Particular,Grama,POINT (-56.95277777769787 -13.099999999324398)
BCIM_Pista_Ponto_Pouso_P.37129,37129,Novo Horizonte,Não,,30,1000,Sim,Construída,Sim,Pista de pouso,Público,Grama,POINT (-49.234444444276534 -21.497777776663465)
BCIM_Pista_Ponto_Pouso_P.37149,37149,Fazenda Carambola,Não,,18,800,Sim,Construída,Sim,Pista de pouso,Particular,Cascalho,POINT (-55.63611111053193 -22.56944444290268)
BCIM_Pista_Ponto_Pouso_P.37151,37151,Fazenda Nova Floresta,Não,,20,1100,Sim,Construída,Sim,Pista de pouso,Particular,Grama,POINT (-51.186944444156346 -21.899444443191854)
BCIM_Pista_Ponto_Pouso_P.37153,37153,Fazenda da Ilha,Não,,18,800,Sim,Construída,Sim,Pista de pouso,Particular,Grama,POINT (-50.36249999958165 -24.649999998509884)
BCIM_Pista_Ponto_Pouso_P.37155,37155,Fazenda Tangará,Não,,50,600,Sim,Construída,Sim,Pista de pouso,Particular,Grama,POINT (-55.709999999524975 -20.89861110973044)
BCIM_Pista_Ponto_Pouso_P.37157,37157,Companhia Agrícola de Quatá,Não,,18,1100,Sim,Construída,Sim,Pista de pouso,Particular,Asfalto/Concreto Asfáltico,POINT (-50.64083333304916 -22.288611109846368)
BCIM_Pista_Ponto_Pouso_P.37161,37161,Fazenda das Represas,Não,,18,748,Sim,Construída,Sim,Pista de pouso,Particular,Grama,POINT (-48.037777777523374 -23.873611109812384)
BCIM_Pista_Ponto_Pouso_P.37163,37163,Fazenda Santana,Não,,20,900,Sim,Construída,Sim,Pista de pouso,Particular,Asfalto/Concreto Asfáltico,POINT (-50.8658333330443 -22.181944443179287)
BCIM_Pista_Ponto_Pouso_P.37167,37167,Fazenda Recanto Feliz,Não,,20,850,Sim,Construída,Sim,Pista de pouso,Particular,Grama,POINT (-44.05083333331305 -22.74611111012061)
BCIM_Pista_Ponto_Pouso_P.37169,37169,Fazenda Chaparral,Não,,20,800,Sim,Construída,Sim,Pista de pouso,Particular,Cascalho,POINT (-54.526111110708094 -20.84444444312931)
BCIM_Pista_Ponto_Pouso_P.37177,37177,Resende,Não,,30,1300,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-44.48166666664502 -22.47861111012793)
BCIM_Pista_Ponto_Pouso_P.37179,37179,Catanduva,Não,,20,985,Sim,Construída,Sim,Pista de pouso,Particular,Asfalto/Concreto Asfáltico,POINT (-48.99027777764173 -21.150555554488857)
BCIM_Pista_Ponto_Pouso_P.37181,37181,Fazenda Marambaia,Não,,20,1200,Sim,Construída,Sim,Pista de pouso,Particular,Asfalto/Concreto Asfáltico,POINT (-44.93694444467407 -17.438333332846256)
BCIM_Pista_Ponto_Pouso_P.37183,37183,Senadora Eunice Michiles,Não,,23,1200,Sim,Construída,Sim,Pista de pouso,Público,Concreto,POINT (-68.9583333330262 -3.4694444440331957)
BCIM_Pista_Ponto_Pouso_P.37189,37189,Sorocaba,Não,,30,1480,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-47.48638888868354 -23.48305555432368)
BCIM_Pista_Ponto_Pouso_P.37193,37193,Brigadeiro Francisco Pinto de Moura,Não,,18,790,Sim,Construída,Sim,Pista de pouso,Particular,Cascalho,POINT (-42.115000000058835 -22.554166665787587)
BCIM_Pista_Ponto_Pouso_P.37197,37197,Fazenda Bom Jardim,Não,,20,1000,Sim,Construída,Sim,Pista de pouso,Particular,Saibro,POINT (-44.09861111107846 -22.936111110098512)
BCIM_Pista_Ponto_Pouso_P.37201,37201,Fazenda Santa Maria,Não,,30,900,Sim,Construída,Sim,Pista de pouso,Particular,Grama,POINT (-50.079444444274685 -20.848888887798378)
BCIM_Pista_Ponto_Pouso_P.37203,37203,Saint-Exupéry,Não,,20,800,Sim,Construída,Sim,Pista de pouso,Particular,Grama,POINT (-49.98388888862571 -22.48277777652593)
BCIM_Pista_Ponto_Pouso_P.37209,37209,Dracena,Não,,30,1500,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-51.6066666663839 -21.461111109881816)
BCIM_Pista_Ponto_Pouso_P.37217,37217,Rancho Villela,Não,,40,950,Sim,Construída,Sim,Pista de pouso,Particular,Cascalho,POINT (-48.8633333330582 -23.57027777647009)
BCIM_Pista_Ponto_Pouso_P.37221,37221,Fazenda Guará do Pinhal,Não,,18,580,Sim,Construída,Sim,Pista de pouso,Particular,Asfalto/Concreto Asfáltico,POINT (-48.07361111086765 -23.66583333205416)
BCIM_Pista_Ponto_Pouso_P.37223,37223,Estância Machado,Não,,30,700,Sim,Construída,Sim,Pista de pouso,Particular,Grama,POINT (-51.45166666635255 -22.10111110982496)
BCIM_Pista_Ponto_Pouso_P.37225,37225,Fazenda Entre Rios,Não,,25,1500,Sim,Construída,Sim,Pista de pouso,Particular,Asfalto/Concreto Asfáltico,POINT (-48.659444444280815 -21.87888888776416)
BCIM_Pista_Ponto_Pouso_P.37235,37235,Fazenda Bonança,Não,,23,1400,Sim,Construída,Sim,Pista de pouso,Particular,Asfalto/Concreto Asfáltico,POINT (-51.031111110904945 -20.67722222110115)
BCIM_Pista_Ponto_Pouso_P.37237,37237,Fazenda Brumado,Não,,30,800,Sim,Construída,Sim,Pista de pouso,Particular,Grama,POINT (-48.567222222147436 -20.423055554584252)
BCIM_Pista_Ponto_Pouso_P.37243,37243,Fazenda Santo Antônio,Não,,18,800,Sim,Construída,Sim,Pista de pouso,Particular,Grama,POINT (-56.70249999938896 -22.068055554009774)
BCIM_Pista_Ponto_Pouso_P.37245,37245,Fazenda Fittipaldi Citrus,Não,,30,750,Sim,Construída,Sim,Pista de pouso,Particular,Grama,POINT (-48.29583333318782 -21.85444444334014)
BCIM_Pista_Ponto_Pouso_P.37247,37247,Fazenda Amália,Não,,30,1000,Sim,Construída,Sim,Pista de pouso,Particular,Grama,POINT (-47.37194444436359 -21.44499999898332)
BCIM_Pista_Ponto_Pouso_P.37249,37249,Fazenda Figueira,Não,,40,1200,Sim,Construída,Sim,Pista de pouso,Particular,Grama,POINT (-52.15888888853952 -22.068888887570683)
BCIM_Pista_Ponto_Pouso_P.37257,37257,Virgulino de Oliveira,Não,,23,500,Sim,Construída,Sim,Pista de pouso,Particular,Asfalto/Concreto Asfáltico,POINT (-46.808888888776465 -22.414444443355496)
BCIM_Pista_Ponto_Pouso_P.37261,37261,Casa Nova,Não,,20,1100,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-40.93805555626784 -9.159722222716844)
BCIM_Pista_Ponto_Pouso_P.37263,37263,Fazenda Ipameri,Não,,30,800,Sim,Construída,Sim,Pista de pouso,Particular,Grama,POINT (-50.808888888636424 -21.631388887682395)
BCIM_Pista_Ponto_Pouso_P.37271,37271,Fazenda Suíssa,Não,,18,750,Sim,Construída,Sim,Pista de pouso,Particular,Grama,POINT (-49.8574999997776 -21.912222221034643)
