FID,id_objeto,nome,geometriaaproximada,nomeabrev,largura,extensao,operacional,situacaofisica,homologacao,tipopista,usopista,revestimento,geom
BCIM_Pista_Ponto_Pouso_P.36799,36799,Ipiaú,Não,,20,1300,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-39.6840247943147 -14.173219277209597)
BCIM_Pista_Ponto_Pouso_P.36805,36805,Piatã,Não,,25,1350,Sim,Construída,Sim,Pista de pouso,Público,Cascalho,POINT (-41.770248262130615 -13.171541094520258)
BCIM_Pista_Ponto_Pouso_P.36813,36813,Uaicas,Não,,30,800,Sim,Construída,Sim,Pista de pouso,Público,Grama,POINT (-63.18222222265581 3.544999999490622)
BCIM_Pista_Ponto_Pouso_P.36815,36815,Assunção do Içana,Não,,30,950,Sim,Construída,Sim,Pista de pouso,Público,Piçarra,POINT (-67.6005555555853 1.0663888888150541)
BCIM_Pista_Ponto_Pouso_P.36817,36817,Anamoim,Não,,23,1000,Sim,Construída,Sim,Pista de pouso,Público,Piçarra,POINT (-67.38388888897133 1.7997222220728115)
BCIM_Pista_Ponto_Pouso_P.36821,36821,Santo Atanázio,Não,,30,900,Sim,Construída,Sim,Pista de pouso,Público,Piçarra,POINT (-69.3005555554338 0.3997222222984538)
BCIM_Pista_Ponto_Pouso_P.36823,36823,Maturaca,Não,,30,1200,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-66.12385868643473 0.6245161297447576)
BCIM_Pista_Ponto_Pouso_P.36825,36825,Auaris,Não,,23,1140,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-64.5186111114884 4.016388888406711)
BCIM_Pista_Ponto_Pouso_P.36893,36893,Carlos Alberto da Costa Neves,Não,,30,1625,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-50.939722221630824 -26.78972222049005)
BCIM_Pista_Ponto_Pouso_P.36827,36827,Casalvasco,Não,,30,1050,Sim,Construída,Sim,Pista de pouso,Público,Grama,POINT (-60.08555555514995 -15.489444443367477)
BCIM_Pista_Ponto_Pouso_P.36829,36829,Fortuna,Não,,30,997,Sim,Construída,Sim,Pista de pouso,Público,Cascalho,POINT (-59.503548568142094 -16.25736480089471)
BCIM_Pista_Ponto_Pouso_P.36833,36833,Paa-Piu,Não,,25,850,Sim,Construída,Sim,Pista de pouso,Público,Terra,POINT (-62.950555555962325 2.726944443990597)
BCIM_Pista_Ponto_Pouso_P.36831,36831,Juruena,Não,,30,1640,Sim,Construída,Sim,Pista de pouso,Público,Cascalho,POINT (-58.496571827406164 -10.308949936924062)
BCIM_Pista_Ponto_Pouso_P.36835,36835,Nortelândia,Não,,20,1200,Sim,Construída,Sim,Pista de pouso,Público,Cascalho,POINT (-56.76722222207408 -14.483611110309758)
BCIM_Pista_Ponto_Pouso_P.36837,36837,Pari-Cachoeira,Não,,30,1200,Sim,Construída,Sim,Pista de pouso,Público,Piçarra,POINT (-69.79555555539186 0.2630555556708231)
BCIM_Pista_Ponto_Pouso_P.36845,36845,Taraquá,Não,,30,1000,Sim,Construída,Sim,Pista de pouso,Público,Terra,POINT (-68.54555555547164 0.1247222222824464)
